tweet_id,user_posted,content,date_posted,photos,tweet_url,tagged_users,replies,reposts,likes,views,hashtags
1836808680655786500,IanMalcolm84,"""98% of white mothers reported the black father DOES NOT SUPPORT their child financially, 97% reported the father is not in the child's life, & 97% used welfare to support themselves""

Does the ""media"" advertise this as trendy? If so, why?",2024-09-19 16:44:50+00:00,['https://pbs.twimg.com/media/GX2nwrYXgAAML39.jpg'],https://x.com/IanMalcolm84/status/1836808680655786436,[],365,1337,7990,218473,[]
1838931933427823000,IanMalcolm84,"Is it weird the three most prominent authors on WW2 left out ""that event"" from their works? What might that tell us?",2024-09-25 13:21:53+00:00,['https://pbs.twimg.com/media/GYUy2QbXYAAGc0l.jpg'],https://x.com/IanMalcolm84/status/1838931933427823072,[],66,869,4767,136442,[]
1840728422836035600,IanMalcolm84,"Excuse me @elonmusk but why was my friend Arthur Kwon repeatedly banned for, seemingly, speaking truth?

Are you protecting ""a group""?",2024-09-30 12:20:29+00:00,[],https://x.com/IanMalcolm84/status/1840728422836035688,['https://x.com/elonmusk'],322,4190,16742,480856,[]
1834659062681899000,IanMalcolm84,"If a certain group were another color, would more people notice their concentration of power?

H/T @tonyrigatonee 👈 Give him a follow",2024-09-13 18:23:01+00:00,[],https://x.com/IanMalcolm84/status/1834659062681899020,['https://x.com/tonyrigatonee'],239,1510,7093,217708,[]
1833153106957243000,IanMalcolm84,"Is it curious that 93% of Americans were AGAINST going to war with Germany as of May 1940?

Why are the masses oblivious to this?",2024-09-09 14:38:53+00:00,['https://pbs.twimg.com/media/GXCrCCMWUAEQXJa.jpg'],https://x.com/IanMalcolm84/status/1833153106957242763,[],171,664,4543,102107,[]
1829657738626085000,IanMalcolm84,"Jews are 2% of America & only 0.2% of the world 

According to this, as of 2023, they're running 70% of ALL media

How does this make ANY sense?

H/T @smiley_frown",2024-08-30 23:09:32+00:00,['https://pbs.twimg.com/media/GWRAA3nWgAEGpdc.jpg'],https://x.com/IanMalcolm84/status/1829657738626085137,['https://x.com/smiley_frown'],318,1528,7206,255433,[]
1833502505520476400,IanMalcolm84,"Is America ready to discuss this? Or is it still ""racist"" to converse issues like adults?

H/T @1776General_",2024-09-10 13:47:16+00:00,[],https://x.com/IanMalcolm84/status/1833502505520476425,['https://x.com/1776General_'],333,1436,7309,536712,[]
1830595064189387000,IanMalcolm84,"It's my belief that, if you sent any white 30 year old into a Time Machine & back 70 years, they'd never wish to return

Most can't fathom how must different the world was nor how much better it should be

We don't have to live this way

All ""they"" celebrate destroys the 🌎",2024-09-02 13:14:08+00:00,[],https://x.com/IanMalcolm84/status/1830595064189386982,[],229,723,8476,366201,[]
1837101512239047200,IanMalcolm84,"A few uncomfortable truths:

IQ is genetic. It's the ""intellectual horsepower"" of your body

It's heritable. A low IQ parent likely has a low IQ child

Low IQ is linked to low impulse control

IQ varies (average) across races

WORST - Low IQ people can't comprehend they're low IQ",2024-09-20 12:08:26+00:00,['https://pbs.twimg.com/media/GX6yFs7XYAAfYVl.jpg'],https://x.com/IanMalcolm84/status/1837101512239047142,[],1298,2289,19419,1588155,[]
1838329505712136200,IanMalcolm84,"In case you didn't know, 52% of Harvard MBA students are JEWISH

Jews are only 2% of America and 0.2% of the world. Is that weird?",2024-09-23 21:28:03+00:00,['https://pbs.twimg.com/media/GYMO8UrWAAAtGkD.jpg'],https://x.com/IanMalcolm84/status/1838329505712136276,[],316,1012,8934,381546,[]
